No,Date,Time,Train filename,Test filename,Word embedding,Char embedding,Total unique word,Total unique char,Unique OOV,Padsize,Char padsize,Trainable,MergeGRU Char,MergeGRU Word,Dropout,Dropout GRU,Model,Merge Layer,Optimizer,Loss,Load wgt,Name wgt,Epoch,Batch,F-1 Macro,F-1 Micro,Save wgt,Saved name wgt
no,2018-05-15,16:50,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,5,rmsprop,categorical_crossentropy,n,,22,32,0.8534467422448642,0.9159582117328596,y,05-15_16:50_916
no,2018-05-15,17:46,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,mul,0.5,0.0,3,6,rmsprop,categorical_crossentropy,n,,16,32,0.8538493971890835,0.9142663790551113,y,05-15_17:46_914
no,2018-05-15,18:39,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,1,rmsprop,categorical_crossentropy,n,,16,32,0.8515764559615903,0.9149431121262106,y,05-15_18:39_915
no,2018-05-15,19:27,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,2,rmsprop,categorical_crossentropy,n,,14,32,0.8515158988966709,0.9157890284650848,y,05-15_19:27_916
no,2018-05-15,20:14,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,3,rmsprop,categorical_crossentropy,n,,14,32,0.8477916537066548,0.9107981220657277,y,05-15_20:14_911
no,2018-05-15,21:04,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,4,rmsprop,categorical_crossentropy,n,,15,32,0.851019839403238,0.9130820961806876,y,05-15_21:04_913
no,2018-05-15,22:01,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,5,rmsprop,categorical_crossentropy,n,,17,32,0.8524377685797215,0.9145201539567736,y,05-15_22:01_915
no,2018-05-15,22:47,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,concat,0.5,0.0,3,6,rmsprop,categorical_crossentropy,n,,13,32,0.8510753091295098,0.9152814786617604,y,05-15_22:47_915
no,2018-05-15,23:44,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,1,rmsprop,categorical_crossentropy,n,,17,32,0.8521531333811512,0.9160428033667471,y,05-15_23:44_916
no,2018-05-16,00:31,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,2,rmsprop,categorical_crossentropy,n,,14,32,0.8516710332779129,0.9146893372245485,y,05-16_00:31_915
no,2018-05-16,01:18,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,3,rmsprop,categorical_crossentropy,n,,14,32,0.8479114496615906,0.9106289387979528,y,05-16_01:18_911
no,2018-05-16,02:06,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,4,rmsprop,categorical_crossentropy,n,,14,32,0.8491542183701164,0.9117286300384893,y,05-16_02:06_912
no,2018-05-16,02:59,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,5,rmsprop,categorical_crossentropy,n,,16,32,0.8518147156921031,0.9140126041534491,y,05-16_02:59_914
no,2018-05-16,03:45,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,ave,ave,0.5,0.0,3,6,rmsprop,categorical_crossentropy,n,,13,32,0.8507071455368227,0.9149431121262106,y,05-16_03:45_915
